Wind,000905.SH,000905.SH,000905.SH,000905.SH,000905.SH
,中证500,中证500,中证500,中证500,中证500
日期,开盘价,最高价,最低价,收盘价,成交量
38356,996.682,996.682,984.795,986.927,232376203
38357,986.57,1008.855,985.677,1003.633,348610113
38358,1003.49,1003.49,990.792,994.595,293390559
38359,993.434,1009,990.446,997.606,339162698
38362,996.928,1006.457,993.123,1006.337,294940533
38363,1006.211,1009.501,999.86,1008.343,313611521
38364,1008.01,1008.743,998.361,1008.62,319639380
38365,1008.098,1014.841,1005.348,1013.07,471573361
38366,1012.699,1019.48,999.266,1000.169,401693734
38369,990.987,991.022,974.333,977.522,435860320
38370,977.603,991.839,974.149,991.419,451613258
38371,991.291,991.291,981.227,986.241,425524931
38372,983.198,983.198,966.887,972.463,465204848
38373,971.501,989.718,951.427,988.519,618525583
38376,1009.947,1009.947,998.37,1008.175,732335514
38377,1006,1006,989.946,999.553,469480344
38378,997.638,997.638,985.669,987.955,411390082
38379,986.146,986.146,970.354,971.373,412321375
38380,971.373,971.941,949.112,952.413,407237328
38383,948.439,948.439,921.58,922.653,409509905
38384,919.8,929.688,911.933,913.331,419974568
38385,913.025,964.423,913.025,964.243,655356622
38386,963.746,967.936,944.764,945.312,637130084
38387,944.447,963.81,943.472,962.028,519301391
38399,967.432,979.304,965.939,972.337,469332268
38400,971.838,977.44,964.324,977.272,403195849
38401,977.12,977.12,964.554,964.769,411281145
38404,965.001,981.887,964.471,981.819,476520314
38405,982.418,1008.671,980.505,1007.688,957578905
38406,1008.293,1023.33,1002.801,1019.258,1020182334
38407,1018.292,1024.873,1012.445,1024.446,868323283
38408,1024.569,1035.474,1023.744,1024.118,965076125
38411,1023.191,1026.037,1014.941,1020.847,702805156
38412,1020.595,1023.96,1011.561,1021.162,667563690
38413,1021.357,1028.329,1005.335,1006.148,745797116
38414,1004.1,1011.7,996.362,1011.288,537249418
38415,1011.2,1012.665,1001.848,1003.21,452518936
38418,1004.341,1008.356,1001.861,1006.953,447514053
38419,1007.684,1029.457,1007.684,1029.457,718700799
38420,1031.602,1034.618,1024.89,1032.55,825782273
38421,1032.274,1032.274,1002.415,1005.545,710602049
38422,1003.781,1010.857,999.111,1009.434,595531053
38425,1009.177,1016.538,991.059,1007.766,755050325
38426,1007.892,1007.892,992.015,993.831,649956805
38427,992.642,992.642,977.132,983.916,531196451
38428,983.105,984.246,970.338,970.966,531330742
38429,969.118,973.1,945.597,949.509,539391703
38432,947.571,952.756,940.094,949.553,419219010
38433,948.784,949.067,918.093,922.564,579501326
38434,921.069,937.682,914.541,923.194,529028344
38435,922.181,933.919,914.646,933.347,431920133
38436,933.173,936.125,927.181,931.417,418984460
38439,930.168,930.168,909.172,922.923,401957019
38440,922.659,929.455,916.654,916.811,369856709
38441,915.088,915.088,887.981,888.949,468949559
38442,887.07,896.408,880.878,896.068,412561375
38443,895.227,934.549,884.626,927.546,692179347
38446,919.139,920.623,904.618,909.87,533383808
38447,908.185,912.382,899.796,901.744,457250275
38448,901.744,921.638,893.027,918.557,680502776
38449,919.235,945.571,917.626,932.333,954023521
38450,931.774,949.468,928.058,949.457,799738066
38453,949.847,957.342,943.722,948.509,868824248
38454,947.115,947.115,927.11,927.41,603996652
38455,932.311,951.198,932.311,950.229,814108633
38456,952.538,954.141,934.128,935.425,698368786
38457,931.666,931.666,911.318,913.271,666159696
38460,910.889,910.889,895.275,901.118,500326908
38461,899.934,905.052,893.29,902.785,479860298
38462,902.22,902.22,880.928,884.083,532165039
38463,881.676,886.437,863.138,867.328,625034912
38464,865.817,870.005,851.343,857.401,622488482
38467,846.142,847.812,829.548,841.058,581986195
38468,839.248,858.107,835.857,855.24,619995510
38469,857.951,857.951,839.562,839.953,594365492
38470,837.384,863.452,825.509,860.616,764311242
38471,860.393,860.393,845.436,847.611,601368538
38481,848.088,851.209,818.105,818.399,420610047
38482,814.765,818.497,791.103,818.088,494693584
38483,816.817,822.773,809.58,811.57,463757906
38484,810.16,814.887,799.816,807.51,459710546
38485,806.728,819.416,801.868,814.878,519752845
38488,814.055,814.055,802.823,808.171,453750251
38489,806.808,821.049,803.424,818.455,495508190
38490,818.12,824.771,811.036,824.643,455807702
38491,824.826,828.582,814.151,824.94,477627612
38492,824.574,828.079,818.365,819.13,432752210
38495,816.195,816.195,793.052,793.724,431271537
38496,791.129,811.671,788.817,808.743,469529223
